GenreCorrected,Count
,6206
action,3790
action|action,163
action|action|action,21
action|action|action|comedy|action,1
action|action|action|drama,1
action|action|action|fantasy|action,1
action|action|action|fantasy|action|comedy,1
action|action|action|fantasy|drama|action,1
action|action|action|history,1
action|action|animation|children,1
action|action|biography,1
action|action|biography|history,1
action|action|children,2
action|action|children|romance,1
action|action|comedy,17
action|action|comedy|action|tokusatsu,1
action|action|comedy|crime|drama,1
action|action|comedy|drama|action|musical|fantasy,1
action|action|comedy|fantasy,1
action|action|comedy|prison,1
action|action|comedy|thriller,1
action|action|costume,3
action|action|crime,2
action|action|crime|action,1
action|action|drama,4
action|action|drama|action,2
action|action|drama|fantasy,1
action|action|drama|musical|children,1
action|action|drama|romance|children,1
action|action|epic,1
action|action|fantasy,10
action|action|fantasy|action,2
action|action|fantasy|children,1
action|action|fantasy|comedy,1
action|action|fantasy|thriller,1
action|action|james|bond,1
action|action|mecha,1
action|action|mecha|action,1
action|action|romance,3
action|action|romance|comedy,1
action|action|science|fantasy,1
action|action|thriller,7
action|action|thriller|action,2
action|action|wuxia,1
action|animation,9
action|animation|action,2
action|animation|children|fantasy|comedy,1
action|animation|comedy,2
action|animation|fantasy,1
action|anthology,1
action|biker,1
action|biography,17
action|biography|drama,1
action|biography|history|action|costume,1
action|black,1
action|bros|biography,1
action|bros|drama,1
action|children,22
action|children|drama,2
action|children|drama|action,1
action|children|drama|comedy,1
action|children|musical,1
action|comedy,229
action|comedy|action,2
action|comedy|action|action,1
action|comedy|children,3
action|comedy|crime,2
action|comedy|crime|drama,5
action|comedy|crime|drama|romance,1
action|comedy|crime|romance,1
action|comedy|drama,9
action|comedy|drama|children,1
action|comedy|drama|crime,1
action|comedy|drama|musical|romance,1
action|comedy|drama|romance,1
action|comedy|fantasy,2
action|comedy|parody,1
action|comedy|romance,8
action|comedy|romance|musical,1
action|comedy|thriller,3
action|crime,34
action|crime|action,2
action|crime|comedy,3
action|crime|drama,36
action|crime|drama|action,1
action|crime|drama|children,2
action|crime|drama|children|romance,1
action|crime|drama|romance,11
action|crime|drama|thriller,5
action|crime|musical,1
action|crime|musical|romance|thriller,1
action|crime|romance,4
action|crime|romance|thriller,1
action|crime|thriller,9
action|crime|thriller|drama,1
action|disaster,1
action|documentary,2
action|drama,251
action|drama|action,9
action|drama|action|crime,1
action|drama|action|romance,1
action|drama|biography,1
action|drama|biography|thriller,1
action|drama|children,7
action|drama|children|comedy,1
action|drama|children|crime|action,1
action|drama|children|musical|romance,1
action|drama|children|romance,1
action|drama|crime,2
action|drama|documentary,1
action|drama|epic,2
action|drama|fantasy,2
action|drama|fantasy|romance,1
action|drama|history,3
action|drama|musical|romance,1
action|drama|mystery|romance|thriller,1
action|drama|propaganda,1
action|drama|romance,4
action|drama|romance|crime,1
action|drama|romance|thriller,1
action|drama|supernatural,1
action|drama|thriller,4
action|drama|thriller|thriller,1
action|entertainer,1
action|epic|fantasy,1
action|exploitation,1
action|fantasy,28
action|fantasy|action,3
action|fantasy|action|comedy,1
action|fantasy|action|thriller|action|action,1
action|fantasy|costume,1
action|fantasy|mystery|action,1
action|fantasy|romance,1
action|fantasy|romance|musical,1
action|history,4
action|history|action|costume,1
action|history|drama,1
action|lgbtrelated|drama,1
action|love,3
action|masala,23
action|music,1
action|musical,8
action|musical|drama|comedy,1
action|mystery,10
action|mystery|comedy,1
action|mystery|crime,1
action|mystery|crime|costume,1
action|mystery|thriller,2
action|period,1
action|pow,4
action|propaganda,2
action|psycho|thriller,2
action|road,1
action|romance,91
action|romance|action|costume,1
action|romance|comedy,5
action|romance|comedy|drama,1
action|romance|drama,7
action|romance|fantasy,2
action|romance|period,1
action|romance|thriller,3
action|romance|thriller|crime,1
action|satire,1
action|series,11
action|short,1
action|spoof,1
action|sports|romance,1
action|swashbuckler,1
action|teen,1
action|thriller,230
action|thriller|action,5
action|thriller|action|drama,1
action|thriller|action|thriller,1
action|thriller|animation,1
action|thriller|comedy,4
action|thriller|drama|mystery|crime,1
action|thriller|fantasy,1
action|thriller|romance,1
action|thriller|romance|drama|comedy,2
action|thriller|thriller,1
action|time|travel,1
action|tokusatsu,1
action|triad,1
adult,23
adult|action|crime,1
adult|action|thriller,1
adult|comedy,7
adult|crime|thriller,1
adult|drama,8
adult|fantasy,1
adult|hygiene|exploitation,1
adult|musical,1
adult|romance,1
adult|romance|comedy,3
adult|thriller,12
african|action,6
african|drama,2
aids|drama,1
ajay|kota|srinivasa|rao,1
allari|naresh,1
allari|naresh|madhu|sharma|shashank|bramhanandam|ravi|babu,1
animation,601
animation|action,15
animation|action|action,2
animation|action|action|comedy,1
animation|action|comedy,3
animation|action|comedy|action,1
animation|action|comedy|children,2
animation|action|comedy|children|fantasy|musical,1
animation|action|drama,1
animation|action|drama|children,1
animation|adult,3
animation|animation,1
animation|buddy|comedy,1
animation|children,26
animation|children|action,3
animation|children|animation,1
animation|children|drama|action|comedy,1
animation|children|fantasy,1
animation|children|romance,1
animation|comedy,15
animation|comedy|action,2
animation|comedy|action|action,1
animation|comedy|children,6
animation|comedy|drama|children,1
animation|comedy|fantasy|children,1
animation|drama,4
animation|drama|mystery|fantasy,1
animation|fantasy,9
animation|fantasy|action,2
animation|fantasy|action|action,1
animation|fantasy|comedy|action,1
animation|fantasy|musical,1
animation|feature,16
animation|feature|animation,1
